cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp,selected_candidate_id,selection_fit_cell_count
MATR_B2C25,40,60,theil_all_a0p1,robust_local_trend,20,240,0.50547737231156287,0.49902610055298308,-0.0064512717585797907,0.0065362520760274788,0.013018261396237303,theil_all_a0p1,40
MATR_B2C27,40,60,theil_all_a0p1,robust_local_trend,20,240,0.36897066194897038,0.37442765386061638,0.0054569919116460031,0.0056038706798098303,0.01116123620874987,theil_all_a0p1,40
MATR_B2C29,40,60,theil_all_a0p1,robust_local_trend,20,240,0.2234489622420637,0.21935248304754704,-0.0040964791945166668,0.0041115491880829259,0.0081889776360157852,theil_all_a0p1,40
MATR_B2C31,40,60,theil_all_a0p1,robust_local_trend,20,240,0.22277747652867461,0.22514076199896985,0.0023632854702952399,0.0024440786654605124,0.0048678745204192774,theil_all_a0p1,40
MATR_B2C33,40,60,theil_all_a0p1,robust_local_trend,20,240,0.40540734841760229,0.39091002006819864,-0.014497328349403649,0.014497328349403602,0.028874346919973978,theil_all_a0p1,40
MATR_B2C35,40,60,theil_all_a0p1,robust_local_trend,20,240,0.066319089912165494,0.059839635949512096,-0.0064794539626533976,0.0075851288145681985,0.015107310502044544,theil_all_a0p1,40
MATR_B2C37,40,60,theil_all_a0p25,robust_local_trend,20,240,0.085684619855385516,0.13509647108406989,0.04941185122868437,0.067255680265179141,0.13395322210492111,theil_all_a0p25,40
MATR_B2C39,40,60,theil_all_a0p1,robust_local_trend,20,240,0.037329948792434092,0.042081878469874094,0.0047519296774400019,0.012485587906265546,0.024867560975134699,theil_all_a0p1,40
MATR_B2C4,40,60,theil_all_a0p1,robust_local_trend,20,240,0.26570402319791459,0.26039296487369051,-0.0053110583242240716,0.0082341277488048523,0.016399922487246178,theil_all_a0p1,40
MATR_B2C41,40,60,theil_all_a0p1,robust_local_trend,20,240,0.10885710849708155,0.10045536883549525,-0.0084017396615863049,0.017541931616096188,0.034938287036208174,theil_all_a0p1,40
MATR_B2C43,40,60,theil_all_a0p1,robust_local_trend,20,240,0.026531201063212547,0.025096830887486082,-0.0014343701757264654,0.0071522272958389381,0.014245100008309922,theil_all_a0p1,40
MATR_B2C45,40,60,theil_all_a0p1,robust_local_trend,20,240,0.11205117839226161,0.11706631553817044,0.0050151371459088295,0.0052269628895661438,0.010410548493741697,theil_all_a0p1,40
MATR_B2C6,40,60,theil_all_a0p1,robust_local_trend,20,240,0.73156163482937486,0.69125737233310736,-0.040304262496267507,0.040835176267939241,0.081331471405024211,theil_all_a0p1,40
MATR_B1C1,60,100,theil_all_a0p5,robust_local_trend,40,200,0.015272746986010546,0.01537527237517331,0.00010252538916276366,0.0020043456451706021,0.0039887475525783129,theil_all_a0p5,40
MATR_B1C11,60,100,theil_all_a0p5,robust_local_trend,40,200,0.025372970837373075,0.031876196971478803,0.0065032261341057274,0.007802987592233271,0.015528333516882131,theil_all_a0p5,40
MATR_B1C15,60,100,theil_all_a0p5,robust_local_trend,40,200,0.066659119260425323,0.032467053655992048,-0.034192065604433275,0.036164089074395556,0.071968336466458824,theil_all_a0p5,40
MATR_B1C17,60,100,theil_all_a0p5,robust_local_trend,40,200,0.020693679898520115,0.15148285917355631,0.13078917927503619,0.16664224692055948,0.33162636203096413,theil_all_a0p5,40
MATR_B1C19,60,100,theil_all_a0p5,robust_local_trend,40,200,0.039933877521312271,0.030744729353732226,-0.0091891481675800447,0.011522793386392749,0.02293093211222438,theil_all_a0p5,40
MATR_B1C21,60,100,theil_all_a0p5,robust_local_trend,40,200,0.33366016873665749,0.2603355626525129,-0.073324606084144595,0.076324157640302343,0.15188887092597481,theil_all_a0p5,40
MATR_B1C24,60,100,theil_all_a0p5,robust_local_trend,40,200,0.066661887291639771,0.10951050921577718,0.042848621924137409,0.045163500339715584,0.089877612616349412,theil_all_a0p5,40
MATR_B1C26,60,100,theil_all_a0p5,robust_local_trend,40,200,0.19725809373011458,0.19756545737118267,0.00030736364106809244,0.00031478697571934024,0.00062644174272505511,theil_all_a0p5,40
MATR_B1C28,60,100,theil_all_a0p5,robust_local_trend,40,200,0.048017158345262698,0.024365578953539638,-0.023651579391723059,0.025572520272838489,0.050890587607638781,theil_all_a0p5,40
MATR_B1C3,60,100,theil_all_a0p5,robust_local_trend,40,200,0.015533999001434253,0.015464082897371653,-6.9916104062600279e-05,0.0013043161512050919,0.002595654032248939,theil_all_a0p5,40
MATR_B1C30,60,100,theil_all_a0p5,robust_local_trend,40,200,0.070532207167319713,0.08369062794984479,0.013158420782525077,0.013201719723841765,0.026272079052421425,theil_all_a0p5,40
MATR_B1C32,60,100,theil_all_a0p5,robust_local_trend,40,200,0.011378142384698649,0.017113832269896677,0.0057356898851980281,0.010993061462599001,0.021876739229052741,theil_all_a0p5,40
MATR_B1C34,60,100,theil_all_a0p5,robust_local_trend,40,200,0.032743669833994744,0.051511569905453455,0.018767900071458711,0.022722402291510218,0.045218711027881026,theil_all_a0p5,40
MATR_B1C36,60,100,theil_all_a0p5,robust_local_trend,40,200,0.071403445869863164,0.068688845888142391,-0.0027145999817207722,0.0028487250550910028,0.0056691045872457758,theil_all_a0p5,40
MATR_B1C38,60,100,theil_all_a0p5,robust_local_trend,40,200,0.046714579981954073,0.050622087629944232,0.0039075076479901591,0.092010250195913912,0.18310497551425656,theil_all_a0p5,40
MATR_B1C40,60,100,theil_all_a0p5,robust_local_trend,40,200,0.017102463355051327,0.018767409804286147,0.00166494644923482,0.0054523941122285209,0.010850535546723425,theil_all_a0p5,40
MATR_B1C42,60,100,theil_all_a0p5,robust_local_trend,40,200,0.051546086478376052,0.028752920714010203,-0.022793165764365849,0.023257244092196729,0.046283072820291996,theil_all_a0p5,40
MATR_B1C44,60,100,theil_all_a0p5,robust_local_trend,40,200,0.08651913830275014,0.081293666766520903,-0.005225471536229237,0.005225471536229368,0.010398948330804712,theil_all_a0p5,40
MATR_B1C5,60,100,theil_all_a0p5,robust_local_trend,40,200,0.032472741853906015,0.021210535282837312,-0.011262206571068703,0.024789974245761699,0.049333282081117813,theil_all_a0p5,40
MATR_B1C7,60,100,theil_all_a0p5,robust_local_trend,40,200,0.024558758880006835,0.045542181482633379,0.020983422602626544,0.032103205937188337,0.063886976989429523,theil_all_a0p5,40
MATR_B2C0,60,100,theil_all_a0p5,robust_local_trend,40,200,4.0553514012912846,3.3436668952794788,-0.71168450601180577,0.72333559905219891,1,theil_all_a0p5,40
MATR_B2C11,60,100,theil_all_a0p5,robust_local_trend,40,200,0.30354209935398885,0.27179018037039149,-0.03175191898359736,0.032581538813311189,0.06483888321056952,theil_all_a0p5,40
MATR_B2C13,60,100,theil_all_a0p5,robust_local_trend,40,200,0.34565201252327671,0.37335818925560704,0.027706176732330334,0.028340630747445448,0.05639926516904567,theil_all_a0p5,40
MATR_B2C17,60,100,theil_all_a0p5,robust_local_trend,40,200,0.16649652706804852,0.21816719776885912,0.051670670700810606,0.067926354294433347,0.13517682446653403,theil_all_a0p5,40
MATR_B2C19,60,100,theil_all_a0p5,robust_local_trend,40,200,0.39668591731033848,0.16160997019900364,-0.23507594711133484,0.28785757228913356,0.57285089012762902,theil_all_a0p5,40
MATR_B2C2,60,100,theil_all_a0p5,robust_local_trend,40,200,0.21375919505575042,0.18466819691430644,-0.029090998141443974,0.030824703859564328,0.061342694247889219,theil_all_a0p5,40
MATR_B2C21,60,100,theil_all_a0p5,robust_local_trend,40,200,0.2231231775777337,0.26832109022765183,0.045197912649918126,0.045873462142161002,0.09129047192469851,theil_all_a0p5,40
