cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp
MATR_B1C4,60,100,no_update,no_update,40,200,0.043482107159113853,0.043482107159113853,0,0,0
MATR_B1C41,60,100,no_update,no_update,40,200,0.034383644768789662,0.034383644768789662,0,0,0
MATR_B1C43,60,100,no_update,no_update,40,200,0.087476422060433379,0.087476422060433379,0,0,0
MATR_B1C45,60,100,no_update,no_update,40,200,0.02875839604309597,0.02875839604309597,0,0,0
MATR_B1C6,60,100,no_update,no_update,40,200,0.034288994251424967,0.034288994251424967,0,0,0
MATR_B1C9,60,100,no_update,no_update,40,200,0.1778527759834872,0.1778527759834872,0,0,0
MATR_B2C10,60,100,no_update,no_update,40,200,0.29830364334734399,0.29830364334734399,0,0,0
MATR_B2C12,60,100,no_update,no_update,40,200,0.44621912137995379,0.44621912137995379,0,0,0
MATR_B2C14,60,100,no_update,no_update,40,200,0.1682770973078079,0.1682770973078079,0,0,0
MATR_B2C18,60,100,no_update,no_update,40,200,0.0816582115064277,0.0816582115064277,0,0,0
MATR_B2C20,60,100,no_update,no_update,40,200,0.14825067527441518,0.14825067527441518,0,0,0
MATR_B2C22,60,100,no_update,no_update,40,200,0.12734202113210585,0.12734202113210585,0,0,0
MATR_B2C24,60,100,no_update,no_update,40,200,0.087085736907368483,0.087085736907368483,0,0,0
MATR_B2C26,60,100,no_update,no_update,40,200,0.049792786366828282,0.049792786366828282,0,0,0
MATR_B2C28,60,100,no_update,no_update,40,200,0.43393683530868793,0.43393683530868793,0,0,0
MATR_B2C3,60,100,no_update,no_update,40,200,1.4619726766472967,1.4619726766472967,0,0,0
MATR_B2C30,60,100,no_update,no_update,40,200,0.11430081940326005,0.11430081940326005,0,0,0
MATR_B2C32,60,100,no_update,no_update,40,200,0.1246655439851915,0.1246655439851915,0,0,0
MATR_B2C34,60,100,no_update,no_update,40,200,0.072770058055613027,0.072770058055613027,0,0,0
MATR_B2C36,60,100,no_update,no_update,40,200,0.067743256095886148,0.067743256095886148,0,0,0
