cell_id,previous_prefix_cycle,current_prefix_cycle,future_row_count,previous_trajectory_mae_pp,current_trajectory_mae_pp,delta_mae_pp
MATR_B1C35,40,60,240,0.046779795794659344,0.044421780304327523,-0.0023580154903318218
MATR_B1C37,40,60,240,0.079929030762439263,0.11459933289195584,0.034670302129516578
MATR_B1C39,40,60,240,0.055005923219264057,0.018698716499022616,-0.036307206720241444
MATR_B1C4,40,60,240,0.055626257287203808,0.028655694359161821,-0.026970562928041987
MATR_B1C41,40,60,240,0.018631039630894422,0.028994398866836354,0.010363359235941932
MATR_B1C43,40,60,240,0.024972912338620052,0.053866709632632313,0.028893797294012261
MATR_B1C45,40,60,240,0.076028196198641915,0.11444089061335276,0.038412694414710846
MATR_B1C6,40,60,240,0.22708927749512384,0.12242487621886683,-0.10466440127625701
MATR_B1C9,40,60,240,0.16864530980177761,0.21090554601081302,0.042260236209035407
MATR_B2C10,40,60,240,0.17138582224908044,0.12431619777501043,-0.04706962447407001
MATR_B2C12,40,60,240,0.5744994438874883,0.33524310240046601,-0.23925634148702229
MATR_B2C14,40,60,240,0.089894889490648985,0.032732226941937684,-0.057162662548711302
MATR_B2C18,40,60,240,0.19664571961391289,0.12597831443639246,-0.070667405177520431
MATR_B2C20,40,60,240,0.16013195880729281,0.087463457411426054,-0.072668501395866753
MATR_B2C22,40,60,240,0.095052827810231472,0.16871976339711955,0.073666935586888083
MATR_B2C24,40,60,240,0.05711258873978077,0.2243152997208829,0.16720271098110212
MATR_B2C26,40,60,240,0.30878147030856862,0.064352378323835308,-0.24442909198473331
MATR_B2C28,40,60,240,0.63578313931079833,0.50283698438909596,-0.13294615492170236
MATR_B2C3,40,60,240,2.4701363122905788,1.7763025382115762,-0.6938337740790026
MATR_B2C30,40,60,240,0.13306436989292583,0.038047001596136984,-0.095017368296788848
MATR_B2C32,40,60,240,0.65500178791345254,0.43679427311519842,-0.21820751479825412
MATR_B2C34,40,60,240,0.63493741513892643,0.41820522703663876,-0.21673218810228767
MATR_B2C36,40,60,240,0.06650745275777889,0.12430023918160107,0.057792786423822184
MATR_B2C38,40,60,240,0.073388564005820153,0.080800835978864838,0.0074122719730446845
MATR_B2C40,40,60,240,0.099073748968816253,0.13850411140361055,0.039430362434794294
MATR_B2C42,40,60,240,0.19005629672176483,0.16482570962194362,-0.025230587099821206
MATR_B2C44,40,60,240,0.4167660249936721,0.26103115660333054,-0.15573486839034156
MATR_B2C46,40,60,240,0.13898139859568939,0.073400706831832058,-0.065580691763857335
MATR_B2C47,40,60,240,0.21114734643449296,0.41226832757927201,0.20112098114477905
MATR_B2C5,40,60,240,0.066054876650997171,0.057050254661273968,-0.0090046219897232035
MATR_B3C0,40,60,240,0.029666541557471445,0.22240121567760335,0.1927346741201319
MATR_B3C1,40,60,240,0.15236724966504839,0.43726651838792935,0.28489926872288096
MATR_B3C10,40,60,240,0.5546187467479915,0.31677043569956531,-0.23784831104842619
MATR_B3C11,40,60,240,0.040740372400947675,0.059626120273717123,0.018885747872769448
MATR_B3C12,40,60,240,0.21486739716431924,0.26161123994510244,0.046743842780783196
MATR_B3C13,40,60,240,0.040623931328334528,0.18689246457691872,0.14626853324858419
MATR_B3C14,40,60,240,0.092827327353446398,0.092782724880197814,-4.4602473248583907e-05
MATR_B3C15,40,60,240,0.071525849604282682,0.10952613350995524,0.038000283905672561
MATR_B3C16,40,60,240,0.15618301846701571,0.10514496538821559,-0.051038053078800119
MATR_B3C17,40,60,240,0.069372312497278737,0.24399636415175135,0.17462405165447262
MATR_B3C18,40,60,240,0.18474303505227763,0.37637096710108919,0.19162793204881157
MATR_B3C19,40,60,240,0.19243750537739893,0.20532621949894725,0.012888714121548323
MATR_B3C20,40,60,240,0.13978261223136995,0.14381481330739299,0.0040322010760230342
MATR_B3C21,40,60,240,0.11944641457623627,0.50992080860515865,0.39047439402892237
MATR_B3C22,40,60,240,0.30621746911059733,0.23032391414908993,-0.075893554961507403
MATR_B3C24,40,60,240,0.050318529368642652,0.15218922754696482,0.10187069817832217
