paper_split,cell_id,prefix_cycle,model_id,trajectory_mae_pp,trajectory_rmse_pp,endpoint_absolute_error_pp
primary_test,MATR_B2C10,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.1589997038398967,0.83005775265713733,0.26207065382109818
primary_test,MATR_B2C10,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.12431619777501043,0.84734721994074691,0.28415354444227603
primary_test,MATR_B2C10,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.29830364334734399,0.96994451631392309,0.69942831755247425
primary_test,MATR_B2C12,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.44945045006841466,2.643806065901904,0.68135772955268692
primary_test,MATR_B2C12,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.53141324629220654,2.7462630978855418,0.97524257249203572
primary_test,MATR_B2C12,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.33524310240046601,2.8516363921901222,0.52644313079464666
primary_test,MATR_B2C12,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.44621912137995379,3.1215658103287023,0.57994928722430927
primary_test,MATR_B2C14,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.21738109114061907,0.30012297925262932,0.38418344388252024
primary_test,MATR_B2C14,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.083809735283776984,0.1705445580880596,0.22814228306860684
primary_test,MATR_B2C14,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.032732226941937684,0.098679281550321199,0.020094164749309584
primary_test,MATR_B2C14,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.1682770973078079,0.20781664836030908,0.2813425900671831
primary_test,MATR_B2C18,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.52960163654641912,0.62096591508518806,0.91096692516407529
primary_test,MATR_B2C18,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.18369633861266391,0.23094129715902681,0.16718402865002702
primary_test,MATR_B2C18,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.12597831443639246,0.16710311435787678,0.063609401656592013
primary_test,MATR_B2C18,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.0816582115064277,0.15755684928029776,0.04577131845242377
primary_test,MATR_B2C20,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.60737280630544765,0.90320361055059617,1.0842719400710479
primary_test,MATR_B2C20,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.15089396474815184,0.6180945746295996,0.18876617024517373
primary_test,MATR_B2C20,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.087463457411426054,0.6210592778000471,0.043943672496212116
