previous_prefix_cycle,current_prefix_cycle,gate_id,projection_scale,physical_cell_count,activation_count,activation_coverage,activation_precision,mean_base_trajectory_mae_pp,mean_gated_delta_mae_pp,active_p90_delta_mae_pp,active_maximum_delta_mae_pp,eligible
40,60,a0p25_d0p02_r0p0,0.25,41,10,0.24390243902439024,0.69999999999999996,0.30547823607127428,-0.01093926196217722,0.050046351731810407,0.05663060025564863,False
40,60,a0p25_d0p02_r0p5,0.25,41,6,0.14634146341463414,0.83333333333333337,0.30547823607127428,-0.01125907012023754,0.014783362209639668,0.05663060025564863,False
40,60,a0p25_d0p04_r0p0,0.25,41,5,0.12195121951219512,0.80000000000000004,0.30547823607127428,-0.0099668806702293816,0.02315280981884147,0.05663060025564863,False
40,60,a0p25_d0p04_r0p5,0.25,41,5,0.12195121951219512,0.80000000000000004,0.30547823607127428,-0.0099668806702293816,0.02315280981884147,0.05663060025564863,False
40,60,a0p5_d0p01_r0p0,0.5,41,12,0.29268292682926828,0.5,0.30547823607127428,-0.012394098456389767,0.115623766975607,0.20377231254752209,False
40,60,a0p5_d0p01_r0p5,0.5,41,7,0.17073170731707318,0.5714285714285714,0.30547823607127428,-0.014701172366352967,0.15168042302775911,0.20377231254752209,False
40,60,a0p5_d0p02_r0p0,0.5,41,10,0.24390243902439024,0.59999999999999998,0.30547823607127428,-0.014287196703052289,0.12563447826787755,0.20377231254752209,False
40,60,a0p5_d0p02_r0p5,0.5,41,6,0.14634146341463414,0.66666666666666663,0.30547823607127428,-0.015806624153224803,0.16036240461438625,0.20377231254752209,False
40,60,a0p5_d0p04_r0p0,0.5,41,5,0.12195121951219512,0.59999999999999998,0.30547823607127428,-0.013222245253208491,0.16904438620101342,0.20377231254752209,False
40,60,a0p5_d0p04_r0p5,0.5,41,5,0.12195121951219512,0.59999999999999998,0.30547823607127428,-0.013222245253208491,0.16904438620101342,0.20377231254752209,False
40,60,no_update,,41,0,0,,0.30547823607127428,0,,,False
60,100,a0p1_d0p01_r0p0,0.10000000000000001,41,9,0.21951219512195122,1,0.24359906485841418,-0.0087395014585574058,-0.0063531804230671134,-0.0063138363133732125,True
