cell_id,previous_prefix_cycle,current_prefix_cycle,selected_gate_id,selection_fit_cell_count,activated,base_trajectory_mae_pp,updated_trajectory_mae_pp,raw_delta_mae_pp,gated_delta_mae_pp,matched_naive_history_slope_delta_mae_pp,history_theil_slope_pp_per_cycle,reissue_shift_theil_slope_pp_per_cycle,bounded_unassimilated_slope_pp_per_cycle,projected_unassimilated_change_pp,absolute_history_spearman,history_slope_sign_agreement,unassimilated_history_slope_sign_agreement
MATR_B2C41,20,40,a0p1_d0p01_r0p5,40,False,0.38268922618343776,0.38268922618343776,-0.045253308111577351,0,0,0.0028908221314266043,0.0064484721401984087,-0.0035576500087718043,0.07115300017543609,0.78195488721804507,True,False
MATR_B2C43,20,40,a0p1_d0p01_r0p5,40,False,0.13891055620317658,0.13891055620317658,0.00221525605408876,0,0,-0.0022559255077710975,-0.0024299756026771339,0.0001740500949060364,0.003481001898120728,0.7398496240601502,False,False
MATR_B2C45,20,40,a0p1_d0p01_r0p5,40,False,0.047209627534841904,0.047209627534841904,-0.0054546305782482638,0,0,4.0861948426816535e-05,-0.00052273609997396757,0.00056359804840078415,0.011271960968015683,0.0075187969924812017,True,True
MATR_B2C6,20,40,a0p1_d0p01_r0p5,40,True,0.82199421818665785,0.77866836163941622,-0.043325856547241637,-0.043325856547241637,-0.10618346086197605,-0.00825095631324382,-0.004884332672394201,-0.003366623640849619,0.067332472816992381,0.99097744360902251,True,True
MATR_B1C1,40,60,a0p1_d0p02_r0p5,40,False,0.064164002622795258,0.064164002622795258,0.027205015395979387,0,0,-0.0030738539962411673,-0.00054177697136946826,-0.0025320770248716991,0.050641540497433982,0.80300751879699239,False,True
MATR_B1C11,40,60,a0p1_d0p02_r0p5,40,False,0.027939337513746606,0.027939337513746606,0.0063042464591300494,0,0,-0.0021844095349611813,5.3716621808602741e-05,-0.0022381261567697838,0.044762523135395679,0.6902255639097743,False,True
MATR_B1C15,40,60,a0p1_d0p02_r0p5,40,False,0.060860867659238357,0.060860867659238357,-0.0053389367934043933,0,0,-6.1135879081341429e-05,0.0004002997231815509,-0.00046143560226289234,0.0092287120452578461,0.045112781954887216,False,True
MATR_B1C17,40,60,a0p1_d0p02_r0p5,40,False,0.55089986886203024,0.55089986886203024,-0.016663483731571671,0,0,0.0031294170619394395,0.0045139064670412909,-0.0013844894051018514,0.027689788102037028,0.66766917293233086,True,False
MATR_B1C19,40,60,a0p1_d0p02_r0p5,40,False,0.054686490606001094,0.054686490606001094,0.018609445911227478,0,0,0.00073805484803604788,-0.0011534376192146964,0.0018914924672507444,0.03782984934501489,0.25864661654135335,True,True
MATR_B1C21,40,60,no_update,40,False,0.40372996709829129,0.40372996709829129,0,0,0,-0.0049616795787546918,-0.002748045242246807,-0.0022136343365078848,0.044272686730157697,0.75338345864661649,True,True
MATR_B1C24,40,60,a0p1_d0p02_r0p5,40,False,0.14124731315217284,0.14124731315217284,-0.021398450109617315,0,0,-0.001619297751219051,0.00017689582002295529,-0.0017961935712420061,0.035923871424840124,0.40300751879699248,True,True
MATR_B1C26,40,60,a0p1_d0p02_r0p5,40,False,0.056202986154172525,0.056202986154172525,0.017744383467421153,0,0,-0.002156045907647678,-0.00037341128672762388,-0.001782634620920054,0.035652692418401077,0.60300751879699244,False,True
MATR_B1C28,40,60,a0p1_d0p02_r0p5,40,False,0.044126399680058687,0.044126399680058687,0.00070771579296871612,0,0,0.00050689739243239276,0.0005681015152547758,-6.1204122822383048e-05,0.001224082456447661,0.20751879699248119,False,False
MATR_B1C3,40,60,a0p1_d0p02_r0p5,40,False,0.026482712901649504,0.026482712901649504,-0.0023440839168713395,0,0,0.00035484398687479768,4.9016593441143129e-05,0.00030582739343365452,0.00611654786867309,0.17593984962406017,False,True
MATR_B1C30,40,60,a0p1_d0p02_r0p5,40,False,0.032564152066964107,0.032564152066964107,-0.0008815635670546898,0,0,-0.00024072395849802176,-0.00047501070208507377,0.00023428674358705201,0.00468573487174104,0.22857142857142856,False,False
MATR_B1C32,40,60,a0p1_d0p02_r0p5,40,False,0.036300744745117026,0.036300744745117026,-0.006512740162136349,0,0,-0.00042249751810278602,0.00014285735424861734,-0.00056535487235140336,0.011307097447028068,0.18496240601503755,False,True
MATR_B1C34,40,60,a0p1_d0p02_r0p5,40,False,0.018557899824262532,0.018557899824262532,0.00017378699454469529,0,0,0.0018495259693837893,0.0010942351514936816,0.00075529081789010768,0.015105816357802154,0.5714285714285714,False,True
MATR_B1C36,40,60,a0p1_d0p02_r0p5,40,False,0.064117617927492834,0.064117617927492834,0.0059033873017279165,0,0,0.0010978902668028088,0.00055947918244577798,0.00053841108435703083,0.010768221687140617,0.24812030075187969,False,True
MATR_B1C38,40,60,a0p1_d0p02_r0p5,40,False,0.1975987708806444,0.1975987708806444,0.0073825749752170766,0,0,-0.0015514830561725052,-0.00093062034888674334,-0.00062086270728576188,0.012417254145715238,0.7037593984962407,False,True
MATR_B1C40,40,60,a0p1_d0p01_r0p5,40,True,0.045845574799864924,0.066969524786153006,0.021123949986288082,0.021123949986288082,0.022375510579189378,-0.0021189045061594126,-0.00010956176768904327,-0.0020093427384703694,0.040186854769407386,0.77443609022556392,True,True
MATR_B1C42,40,60,a0p1_d0p02_r0p5,40,False,0.12166192864977141,0.12166192864977141,0.0024214790923062779,0,0,0.00090564693084179988,0.00070211945585158865,0.00020352747499021123,0.0040705494998042246,0.3669172932330827,True,True
MATR_B1C44,40,60,a0p1_d0p02_r0p5,40,False,0.085498741340224463,0.085498741340224463,0.0093928627776811296,0,0,0.0014225078533236513,0.0022310203324282006,-0.00080851247910454938,0.016170249582090988,0.84360902255639092,True,False
MATR_B1C5,40,60,a0p1_d0p02_r0p5,40,False,0.11648888414237461,0.11648888414237461,0.00033491546121483529,0,0,-0.0015969749425757129,-0.001568956359652005,-2.8018582923707881e-05,0.00056037165847415762,0.82255639097744349,True,True
MATR_B1C7,40,60,a0p1_d0p02_r0p5,40,False,0.067743498554217699,0.067743498554217699,-0.013923985008640595,0,0,0.00063762065458392828,-0.0005271620299510105,0.0011647826845349388,0.023295653690698775,0.37894736842105259,True,True
MATR_B2C0,40,60,no_update,40,False,4.2509818071813079,4.2509818071813079,0,0,0,-0.010211640779982389,-0.00051840915850180766,-0.0096932316214805806,0.19386463242961161,0.66766917293233086,True,True
MATR_B2C11,40,60,a0p1_d0p02_r0p5,40,False,0.21348815434559279,0.21348815434559279,0.022163550146130501,0,0,0.00096436730462064939,-0.00092950865444483524,0.0018938759590654847,0.037877519181309695,0.34736842105263155,False,True
MATR_B2C13,40,60,a0p1_d0p01_r0p5,40,True,0.24502021881148886,0.25331314860776177,0.0082929297962729132,0.0082929297962729132,0.008435093778942776,-0.00093336616552051053,-1.531939468423017e-05,-0.00091804677083628038,0.018360935416725607,0.55639097744360899,True,True
MATR_B2C17,40,60,no_update,40,False,0.23136943571417562,0.23136943571417562,0,0,0,-0.0064379465374318446,0.0023130492312312795,-0.0087509957686631237,0.17501991537326247,0.53383458646616533,True,True
MATR_B2C19,40,60,a0p1_d0p02_r0p5,40,False,1.0992755652189916,1.0992755652189916,-0.0043482240494925328,0,0,0.0054045439445889404,0.0050436954757513888,0.00036084846883755167,0.0072169693767510333,0.89924812030075185,True,True
MATR_B2C2,40,60,a0p1_d0p02_r0p5,40,False,0.26194749043696591,0.26194749043696591,0.0090427220562122046,0,0,-0.00065536234943246489,-0.00143344098244438,0.0007780786330119151,0.015561572660238302,0.13533834586466165,False,False
MATR_B2C21,40,60,a0p1_d0p02_r0p5,40,False,0.15462082292202772,0.15462082292202772,-0.0047710957335835302,0,0,-0.0015746788126865597,-0.0019769351803041041,0.0004022563676175444,0.0080451273523508872,0.31428571428571428,True,False
MATR_B2C23,40,60,no_update,40,False,0.69106579912190313,0.69106579912190313,0,0,0,0.0027735707964166791,0.0010145413728737198,0.0017590294235429592,0.035180588470859184,0.70676691729323304,True,True
MATR_B2C25,40,60,a0p1_d0p02_r0p5,40,False,0.50547737231156287,0.50547737231156287,-0.0046244258140540895,0,0,-0.0005424275581765543,-0.00015360251775721609,-0.00038882504041933821,0.0077765008083867642,0.16842105263157892,False,True
MATR_B2C27,40,60,a0p1_d0p02_r0p5,40,False,0.36897066194897038,0.36897066194897038,0.019285196866612897,0,0,0.00046505150869791123,-0.0011784564978311468,0.001643508006529058,0.032870160130581159,0.13684210526315788,True,True
MATR_B2C29,40,60,a0p1_d0p02_r0p5,40,False,0.2234489622420637,0.2234489622420637,0.015645027339211914,0,0,0.00034120740150065775,0.0016443262192319108,-0.0013031188177312532,0.026062376354625064,0.13984962406015036,True,False
MATR_B2C31,40,60,a0p1_d0p02_r0p5,40,False,0.22277747652867461,0.22277747652867461,-0.023421338375194251,0,0,-0.00020282810501746988,-0.0022225955649992002,0.0020197674599817302,0.040395349199634605,0.12781954887218044,False,False
MATR_B2C33,40,60,a0p1_d0p02_r0p5,40,False,0.40540734841760229,0.40540734841760229,0.01537737496853353,0,0,0.0012030977883322491,0.0024792284911151151,-0.0012761307027828661,0.025522614055657322,0.38947368421052625,True,False
MATR_B2C35,40,60,a0p1_d0p02_r0p5,40,False,0.066319089912165494,0.066319089912165494,-0.00039896661168352388,0,0,-0.00062947127091852258,-0.00059209734944930953,-3.737392146921305e-05,0.00074747842938426099,0.1969924812030075,True,True
MATR_B2C37,40,60,a0p1_d0p02_r0p5,40,False,0.085684619855385516,0.085684619855385516,-0.00071442288081081939,0,0,0.0022325537017486852,0.0026783563966178425,-0.00044580269486915736,0.0089160538973831471,0.65112781954887211,True,False
MATR_B2C39,40,60,a0p1_d0p02_r0p5,40,False,0.037329948792434092,0.037329948792434092,0.0038088761672276789,0,0,-0.0010361483739639457,-0.00017461174091881233,-0.00086153663304513344,0.017230732660902668,0.39699248120300751,True,True
